,reviewText,overall
0,"I now use this cable from the output of the pedal chain to the input of the fender amplifier. After I bought monster cable connection pedal, I thought I should try another one and update my guitar. I've been using the high-end Planet Waves cable I bought in the 1980s... I was a little disappointed when I found that the input jack on the new Monster Cable did not match the FENDER STRAT Jack... I didn't return it, as mentioned earlier, I used it for the output on the pedal. Save money... I went back to my planetary wave cable... In the 1980s, I paid $30 for planetary waves. Now it's about $50. I mean, you get what you give. I thought waves was a lot of money at the time... But I haven't bought a guitar string since this time... More than 20 years, still working... The planetary wave won.",3
1,"I now use this cable to connect the output of the pedal chain to the input of the fender amplifier. After buying the monster cable connection pedal, I think I should try another one and upgrade my guitar. I use the high-end planetary wave cable I bought in the 1980s... I was a little disappointed when I found that the input socket of the new Monster Cable did not match the socket of the formation fender... I didn't turn it over. As I mentioned earlier, I used it to release the pedal. Save money... I go back to my planetary wave cable... In the 1980s, I spent $30 on planetary waves, and now it's about $50. You got what you gave. I thought waves were a lot of money... But since... More than 20 years, still working... The planetary wave won.",3
2,"I now use this cable to run from my pedal chain output to my fender amplifier input. After I bought a monster cable to hook my pedal board, I thought I'd try another one and update my guitar. I used a high-end planet wave cable that I bought in the 1980s. I was a little disappointed once I found that the input jack of the new Monster Cable didn't fit the FENDER STRAT Jack. Use it for output on the pedal board as I said it did not return. Save your money. I returned to my planet wave cable. I paid $30.00 in the 80's for now planet waves coming in $50.00. What I get is to get what you pay. I thought the waves were much money on that day. But I didn't buy a guitar cable from now on. 20 years and still work. Planet Waves win",3
3,"Now I use this cable from the end of the pedal chain to the inlet of the fender. After I bought Munster's cable pedal, I thought I should try another one and update my guitar. I use the high-end planetary wave cable purchased in the 1980s. I was a little disappointed when I found that the input jack on the new Munster cable did not match the stratt jack for splashing As mentioned earlier, instead of bringing it back, I used it to pull it onto the pedal. Save me back to my planetary wave cable In the 1980s, I paid $30 for planetary waves, and now it's about $50. I mean, what you get, what you get. I think vayff is a big source of funds But since then, I haven't bought a guitar For more than 20 years, work The planetary wave won.",3
4,"I am now using this cable to run from the output of my pedal chain to the input of my Fender Amp. After I bought Monster Cable to hook up my pedal board, I thought I'd try another one and update my guitar. I used an expensive Planet Waves cable I bought in the'80s. When I found out that the input crawling on the new Monster cable didn't fit in the Fender Strat jacket I was a little disappointed... I did not bring it back and, as I said, I use it for the exit on the pedal. Save your money... I went back to my Planet Waves Cable... I paid back $30.00 in the 1980s for the Planet Waves that is now entering around $50.00. What I'm saying is you get what you pay for. I thought Waves used to be a lot of money... But I haven't bought a guitar wire since this... 20 plus years and still working... Planet Waves wins.",3
5,"I use this cable to run from the output of my pedal chain to the input of my Fender Amps. After I bought Monster Cable to look at my pedal board, I thought I'd try another one and update my guitar. I used a high-end planet wafers cable that I bought in the 1980s... When I found out that the inputs on the new monster cable didn't fit into Fender Strat Jack, I was a little disappointed... I didn't return it, and like I said, I'm using it for the exit on the pedal board. Save your money... I went back to my planet Waves Cable... I paid for the planet Waves in the 1980s, which are now coming in at $50.00. My point is, you get what you pay for. I thought Waves was a lot of money back then... But I haven't bought a guitar wire since... 20 plus years and still working... Planet Waves wins.",3
6,"Now I use this wire to run from the exit of my pedal to the entrance of my Fender amplifier. After I bought the Monster Cable to hook up my pedal I thought I'd try another one and upgrade my guitar. I used a high-quality Planet Waves cable I bought in the'80s... Once I learned that the connections to the new monster cable didn't match Fender Strat cricket, I was a little disappointed... I didn't return it, and as mentioned, I'm using it for the pedal exit. Keep your money... I went back to Planet Waves Cable... I paid the 30-00's in the eighties for Planet Waves, which now comes around 5000's. My point is, you get what you pay for. I thought Waves was a lot of money back then. But I haven't bought a guitar wire since... Twenty plus years and I'm still working... Planet Waves wins.",3
7,"I now use this cable from the output of the pedal chain to the input of the mud film amplifier. After I bought a monster cable pedal, I thought I should try something else to update the guitar. I used the advanced flat wave cable I bought in the 1980s. I was a little disappointed when I found that the input plug of the new monster cable was inconsistent with the mud film strat plug. I didn't return it. As mentioned earlier, I use it for pedal output. Save some money. I went back to my planetary wave cable.. I paid $30 for planetary waves in the 1980s, and now it's about $50. I mean, I got what you gave. I thought waves was a lot of money. But I haven't bought a guitar line since this time I've been working for more than 20 years. The planetary wave won.",3
8,"If you are not used to using a large support pedal when playing the piano, it may look a little awkward.",3
9,"If you are not used to using a large support pedal when playing the piano, it may sound a little awkward.",3
